"Maize","Rice - Local","Paddy Rice","Imporetd Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Tomatoes","Fresh pepper","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"78.00","90.00","N/A","76.00","85.00","82.00","25.00","217.00","66.00","11.00","13.00","39.00","192.00","80.00","127.00","97.00","161.00","207.00","19.00","43.00","9.00","7.00","ACCRA",2011-05-28
" 83"," 80"," 70"," 80","100","100"," 40","400"," 50","  8"," 30"," 30","200","200","150"," 95","146","280"," 50"," 30"," 10","  7","TEMA",2011-05-28
" 90.0"," 45.0"," 64.0"," 65.0"," 90.0"," 85.0"," 28.0","260.0"," 90.0","  7.5","  9.0"," 28.0","180.0","280.0","150.0","120.0","140.0","200.0"," 32.0"," 30.0","  6.0","  7.2","SEKTDI",2011-05-28
"82.00","65.00","N/A","66.00","90.00","90.00","24.00","N/A","70.00","8.00","9.50","28.00","250.00","70.00","100.00","80.00","160.00","200.00","20.00","40.00","7.00","6.50","KDUA",2011-05-28
" 90.0"," 65.0"," 65.0"," 90.0","100.0","110.0"," 18.0","200.0"," 80.0","  6.0","  9.0"," 28.0","140.0","180.0"," 80.0","120.0","140.0","150.0","  8.5"," 30.0","  8.0","  6.5","CCOAST",2011-05-28
" 95.0"," 70.0"," 67.0"," 92.0"," 98.0","135.0"," 16.0","240.0"," 76.0","  7.5","  9.8"," 26.0","120.0","170.0"," 85.0","110.0","165.0","170.0"," 17.0"," 19.0","  9.0","  7.3","MKESSIM",2011-05-28
"83.00","55.00","85.00","75.00","74.00","70.00","18.00","145.00","24.00","3.00","5.80","22.00","108.00","55.00","100.00","N/A","100.00","150.00","12.00","23.00","3.40","7.00","KUMASI",2011-05-28
"67.00","55.00","50.00","75.00","75.00","62.00","12.00","200.00","50.00","8.00","15.00","35.00","120.00","75.00","80.00","100.00","155.00","220.00","18.00","N/A","12.00","6.00","EJURA",2011-05-28
"100.00","48.00","75.00","61.00","80.00","100.00","12.00","200.00","80.00","8.00","12.00","25.00","120.00","100.00","60.00","N/A","195.00","180.00","8.00","50.00","7.00","6.00","OBUASI",2011-05-28
" 72.0"," 50.0"," 65.0"," 89.0"," 80.0"," 80.0"," 25.0","240.0"," 56.0","  5.0","  6.0"," 30.0","115.0","150.0"," 75.0","110.0","130.0","160.0"," 20.0"," 23.0"," 12.0","  5.8","SUNYANI",2011-05-28
"56.00","50.00","50.00","81.00","72.00","65.00","24.00","240.00","60.00","4.00","6.00","18.00","140.00","50.00","72.00","N/A","120.00","200.00","46.00","N/A","7.00","6.00","TMAN",2011-05-28
"73.00","70.00","90.00","85.00","86.00","78.00","24.00","180.00","N/A","9.00","10.00","37.00","144.00","105.00","80.00","85.00","196.00","180.00","20.00","N/A","8.00","7.80","HO",2011-05-28
"52.00","44.00","36.00","72.00","68.00","60.00","60.00","150.00","N/A","12.00","10.00","43.00","52.00","100.00","N/A","95.00","140.00","168.00","N/A","N/A","N/A","8.00","TAMALE",2011-05-28
"60.00","55.00","40.00","79.00","70.00","54.00","60.00","120.00","N/A","10.00","10.00","28.00","N/A","200.00","N/A","100.00","150.00","N/A","N/A","N/A",NA,"7.00","BOLGA",2011-05-28
"50.00","57.00","55.00","70.00","64.00","62.00","36.00","140.00","N/A","10.00","N/A","40.00","213.00","140.00","100.00","120.00","125.00","154.00","N/A","N/A","20.00","7.00","WA",2011-05-28
