"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfum","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"103.00","134.00","85.00","168.00","111.00","N/A","126.00","132.00","61.00","400.00","113.00","33.00","39.00","43.00","253.00","93.00","153.00","158.00","327.00","311.00","30.00","42.00","10.00","9.00","ACCRA",2012-09-01
"125.00","140.00","100.00","170.00","130.00","N/A","130.00","130.00","80.00","N/A","120.00","8.00","12.00","94.00","250.00","150.00","200.00","240.00","450.00","200.00","50.00","40.00","13.00","8.00","TEMA",2012-09-01
"120.00","85.00","80.00","110.00","85.00","84.00","120.00","100.00","60.00","320.00","100.00","8.00","10.00","36.00","N/A","150.00","400.00","100.00","260.00","340.00","40.00","45.00","10.00","8.50","SEKTDI",2012-09-01
"92.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","45.00","N/A","80.00","14.00","18.00","31.00","350.00","80.00","140.00","200.00","220.00","340.00","28.00","40.00","11.00","8.00","KDUA",2012-09-01
" 88","100"," 75","160","100"," 80","120","130"," 42","250","220"," 14"," 20"," 32","130"," 80","140","150","200","300"," 15"," 16","  8","  8","CCOAST",2012-09-01
" 85.0"," 95.0"," 75.0","170.0","100.0"," 82.0","120.0","150.0"," 27.5","180.0","150.0","  6.6"," 14.3"," 33.0"," 95.0"," 40.0","130.0","180.0","190.0","275.0"," 26.0"," 18.0","  9.0","  8.5","MKESSIM",2012-09-01
"105.0"," 73.0"," 70.0","140.0"," 95.0","110.0"," 95.0"," 90.0"," 30.0","210.0"," 50.0"," 11.0"," 20.0"," 30.0","135.0"," 40.0"," 60.0","130.0","200.0","250.0"," 26.0"," 42.0","  5.0","  7.5","KUMASI",2012-09-01
"39.00","75.00","110.00","156.00","108.00","140.00","140.00","90.00","20.00","200.00","200.00","10.00","15.00","24.00","150.00","30.00","50.00","180.00","300.00","260.00","27.00","N/A","17.00","7.50","EJURA",2012-09-01
"130"," 50"," 48","128","105"," 90","100","120"," 20","240"," 60"," 15"," 20"," 30","170","100","200","180","200","250"," 10"," 40","  7","  8","OBUASI",2012-09-01
" 52.0"," 80.0"," 80.0","175.0"," 93.0"," 60.0","130.0","105.0"," 60.0","130.0","135.0"," 15.0"," 18.0"," 36.0","110.0"," 40.0","100.0","190.0","320.0","240.0"," 35.0"," 60.0","  6.0","  6.8","SUNYANI",2012-09-01
" 65"," 80"," 75","160","110"," 70","130"," 85"," 24","120","130"," 12"," 17"," 28","150"," 40"," 50","110","220","250"," 21"," 34","  5","  7","TMAN",2012-09-01
"82.00","120.00","70.00","140.00","84.00","90.00","119.00","118.00","45.00","270.00","N/A","12.00","N/A","52.00","280.00","N/A","70.00","180.00","294.00","221.00","25.00","60.00","9.00","9.00","HO",2012-09-01
"68.00","70.00","32.00","150.00","120.00","60.00","100.00","80.00","60.00","120.00","N/A","10.00","20.00","43.00","80.00","N/A","100.00","100.00","240.00","220.00","N/A","N/A","10.00","9.00","TAMALE",2012-09-01
"75.00","90.00","73.00","150.00","90.00","65.00","120.00","70.00","N/A","100.00","N/A","22.00","20.00","30.00","N/A","N/A","90.00","100.00","N/A","N/A","N/A","N/A","8.00","8.00","BOLGA",2012-09-01
"65.00","89.00","N/A","170.00","80.00","73.00","108.00","98.00","45.00","110.00","N/A","10.00","N/A","57.00","212.00","100.00","18.00","150.00","214.00","205.00","N/A","N/A","35.00","8.00","WA",2012-09-01
