"Maize(New)","RiceLocal (perfumed)","Rice Local(Non-perfumed)","Rice Imported (Perfumed)","Rice Imported(Non-perfumed)","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"105.00","124.00","97.00","143.00","96.00","N/A","120.00","122.00","53.00","245.00","91.00","16.00","19.00","40.00","187.00","127.00","168.00","78.00","200.00","300.00","24.00","45.00","11.00","9.00","ACCRA",2012-04-14
"108","118","100","135"," 93"," 75","120","120"," 60","450"," 60"," 20"," 30"," 50","200"," 70","200"," 80","200","450"," 40"," 40"," 12","  8","TEMA",2012-04-14
" 95"," 90"," 85","120"," 80"," 85","120","100"," 45","300"," 85","  7"," 10"," 45",NA,"160","180","100","200","260"," 35"," 40","  7","  8","SEKTDI",2012-04-14
"120.00","80.00","55.00","130.00","70.00","N/A","120.00","120.00","30.00","200.00","75.00","8.00","9.00","28.00","250.00","120.00","100.00","75.00","180.00","340.00","20.00","40.00","9.00","7.50","KDUA",2012-04-14
"121.0"," 90.0"," 70.0","140.0"," 90.0"," 70.0","100.0","110.0"," 23.0","250.0","130.0","  6.5"," 12.0"," 34.0","180.0","120.0","200.0"," 85.0","150.0","280.0"," 12.0"," 22.0","  6.0","  7.0","CCOAST",2012-04-14
"130.0"," 93.0"," 75.0","160.0"," 95.0"," 76.0","110.0","150.0"," 27.0","260.0","100.0","  8.0"," 13.0"," 30.0","190.0","100.0","170.0","100.0","170.0","275.0"," 19.0"," 20.0","  8.5","  8.0","MKESSIM",2012-04-14
"100.0"," 75.0"," 71.0","140.0"," 98.0","100.0"," 95.0"," 90.0"," 25.0","230.0"," 44.0","  6.0","  8.0"," 40.0","162.0","120.0"," 98.0"," 80.0","150.0","250.0"," 24.0"," 50.0","  4.5","  8.0","KUMASI",2012-04-14
"73.00","90.00","73.00","150.00","70.00","65.00","75.00","75.00","10.00","180.00","70.00","8.00","9.00","24.00","150.00","160.00","80.00","120.00","245.00","350.00","27.00","N/A","12.00","7.50","EJURA",2012-04-14
"130"," 50"," 48","128","105"," 90","100","120"," 20","240"," 60"," 15"," 20"," 30","170","100","180"," 70","200","250"," 10"," 40","  7","  8","OBUASI",2012-04-14
" 85.0"," 70.0"," 70.0","139.0"," 88.0"," 60.0","100.0"," 90.0"," 40.0","180.0","108.0"," 15.0"," 15.0"," 35.0","140.0","120.0","180.0"," 70.0","160.0","260.0"," 25.0"," 50.0","  8.0","  6.5","SUNYANI",2012-04-14
" 69"," 68"," 63","148","100"," 50","100"," 90"," 27","190"," 80","  6","  7"," 26","220"," 80"," 70"," 55","170","280"," 25"," 60","  7","  7","TMAN",2012-04-14
"83.00","100.00","70.00","135.00","84.00","66.00","100.00","118.00","27.00","220.00","N/A","8.50","12.00","35.00","160.00","100.00","140.00","87.00","185.00","221.00","20.00","45.00","9.00","9.00","HO",2012-04-14
"64.00","60.00","54.00","140.00","90.00","46.00","80.00","80.00","60.00","150.00","N/A","12.00","16.00","43.00","68.00","120.00","120.00","75.00","160.00","240.00","72.00","N/A","10.00","8.00","TAMALE",2012-04-14
"70.00","80.00","73.00","150.00","73.00","56.00","90.00","80.00","N/A","100.00","N/A","13.00","15.00","28.00","N/A","N/A","90.00","50.00","200.00","250.00","N/A","N/A",NA,"8.00","BOLGA",2012-04-14
"64.00","81.00","N/A","170.00","77.00","66.00","89.00","86.00","45.00","160.00","N/A","","N/A","57.00","267.00","100.00","67.00","80.00","195.00","239.00","N/A","N/A","20.00","8.00","WA",2012-04-14
