"Maize (New)","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfum","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"88.00","128.00","88.00","165.00","108.00","N/A","166.00","137.00","64.00","280.00","95.00","21.00","29.00","45.00","217.00","83.00","167.00","370.00","416.00","288.00","N/A","37.00","10.00","9.00","ACCRA",2012-10-06
"83.00","N/A","N/A","180.00","114.00","N/A","130.00","130.00","85.00","300.00","160.00","10.00","15.00","94.00","300.00","150.00","230.00","340.00","450.00","233.00","50.00","35.00","10.00","8.00","TEMA",2012-10-06
"84.00","130.00","100.00","160.00","120.00","85.00","200.00","150.00","70.00","250.00","90.00","10.00","15.00","44.00","N/A","120.00","160.00","300.00","270.00","290.00","45.00","35.00","10.00","8.50","SEKTDI",2012-10-06
"92.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","50.00","160.00","80.00","10.00","12.00","31.00","400.00","96.00","250.00","250.00","220.00","320.00","28.00","35.00","6.00","8.00","KDUA",2012-10-06
" 88","100"," 85","165","100"," 80","160","170"," 42","250","220"," 14"," 18"," 36","140"," 85","200","200","220","280"," 15"," 25","  8","  8","CCOAST",2012-10-06
" 95.0","100.0"," 85.0","180.0","100.0"," 87.0","150.0","170.0"," 28.0","190.0","165.0","  6.6"," 13.0"," 39.0","120.0"," 70.0","180.0","200.0","220.0","280.0"," 24.0","  9.5","  8.6","  8.7","MKESSIM",2012-10-06
" 70.0"," 70.0"," 68.0","160.0","110.0","155.0","150.0","120.0"," 25.0","280.0"," 55.0","  9.5"," 20.0"," 30.0","150.0","120.0","150.0","310.0","220.0","210.0"," 30.0"," 42.0","  4.5","  8.5","KUMASI",2012-10-06
"54.00","75.00","110.00","156.00","108.00","150.00","160.00","90.00","20.00","220.00","200.00","10.00","15.00","24.00","150.00","30.00","90.00","300.00","430.00","360.00","27.00","N/A","17.00","7.50","EJURA",2012-10-06
"100"," 50"," 50","100"," 87","100","110","130"," 30","210"," 50","  8"," 15"," 30","116"," 80","160","300","290","210"," 10"," 30","  7","  8","OBUASI",2012-10-06
" 56"," 75"," 75","173"," 94"," 80","140","110"," 60","120","135","  6","  7"," 35","125"," 40","200","330","320","230"," 30"," 35","  5","  7","SUNYANI",2012-10-06
" 46"," 80"," 78","160","110"," 65","170"," 85"," 35","175","110"," 11"," 10"," 29","175"," 30"," 91","235","200","250"," 20"," 34","  5","  7","TMAN",2012-10-06
"73.00","120.00","70.00","140.00","86.00","90.00","119.00","131.00","45.00","220.00","N/A","9.00","N/A","55.00","280.00","N/A","160.00","N/A","458.00","246.00","35.00","45.00","8.00","9.00","HO",2012-10-06
"48.00","76.00","35.00","160.00","125.00","60.00","180.00","100.00","60.00","70.00","N/A","15.00","20.00","43.00","80.00","15.00","70.00","320.00","240.00","200.00","N/A","N/A","7.00","9.00","TAMALE",2012-10-06
"55.00","93.00","73.00","150.00","100.00","65.00","150.00","70.00","N/A","200.00","N/A","12.00","14.00","30.00","N/A","N/A","60.00","150.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-10-06
"71.00","89.00","N/A","170.00","80.00","73.00","143.00","97.00","45.00","90.00","N/A","10.00","N/A","57.00","213.00","75.00","23.00","150.00","N/A","188.00","N/A","N/A","35.00","8.00","WA",2012-10-06
