"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"85.00","132.00","84.00","162.00","112.00","N/A","135.00","133.00","82.00","365.00","83.00","10.00","12.00","42.00","233.00","77.00","136.00","230.00","266.00","257.00","N/A","35.00","11.00","10.00","ACCRA",2013-01-26
"100.00","N/A","N/A","160.00","114.00","N/A","180.00","180.00","80.00","500.00","160.00","5.00","10.00","65.00","300.00","160.00","250.00","260.00","250.00","233.00","100.00","50.00","10.00","10.00","TEMA",2013-01-26
"100.00","130.00","100.00","160.00","120.00","100.00","160.00","160.00","85.00","390.00","120.00","8.00","16.00","48.00","N/A","120.00","250.00","280.00","200.00","220.00","45.00","40.00","9.00","9.50","SEKTDI",2013-01-26
"84.00","N/A","N/A","80.00","68.00","N/A","200.00","130.00","55.00","280.00","80.00","14.00","15.00","50.00","350.00","120.00","250.00","200.00","280.00","320.00","40.00","45.00","10.00","10.00","KDUA",2013-01-26
"100","100"," 85","160","100"," 90","150","160"," 45","280","230"," 12"," 17"," 42","140","100","250","350","260","280"," 15"," 27","  6","  7","CCOAS",2013-01-26
"110.0","100.0"," 88.0","180.0","110.0"," 90.0","165.0","176.0"," 39.0","285.0","176.0","  6.0"," 10.0"," 50.0","150.0"," 82.0","260.0","300.0","250.0","270.0"," 36.0"," 26.0","  7.8","  8.6","XKESSI",2013-01-26
" 80.0"," 70.0"," 73.0","156.0","110.0"," 85.0","130.0","100.0"," 45.0","230.0"," 90.0","  5.0"," 11.0"," 50.0","135.0"," 72.0"," 75.0","380.0","175.0","280.0"," 23.0"," 45.0","  4.5","  8.0","KUMASI",2013-01-26
" 53.0"," 75.0"," 70.0","160.0","150.0"," 80.0","140.0"," 80.0"," 30.0","250.0","150.0","  7.0","  8.0"," 26.0","100.0"," 30.0"," 90.0","320.0"," 90.0","220.0"," 30.0",NA," 17.0","  8.5","EJUR",2013-01-26
" 90.0"," 50.0"," 50.0","110.0"," 87.0"," 90.0","175.0","130.0"," 35.0","250.0","100.0","  5.0"," 14.0"," 50.0"," 80.0"," 40.0","230.0","320.0","280.0","210.0"," 10.0"," 80.0","  7.0","  8.5","OBUASI",2013-01-26
" 56.0"," 75.0"," 75.0","159.0"," 98.0"," 85.0","140.0","110.0"," 80.0","180.0","135.0","  3.5","  4.0"," 65.0","100.0"," 60.0"," 80.0","250.0","210.0","240.0"," 40.0"," 60.0","  6.0","  7.5","SUNYAN",2013-01-26
" 46"," 75"," 75","170","105"," 55","100"," 90"," 50","230","100","  7","  8"," 57","170"," 60"," 50","107","160","260"," 36"," 36","  4","  9","TMAN",2013-01-26
"90.00","130.00","75.00","140.00","120.00","110.00","120.00","119.00","120.00","300.00","50.00","15.00","7.50","53.00","296.00","80.00","250.00","250.00","120.00","300.00","41.00","N/A","10.00","9.50","HO",2013-01-26
"54.00","67.00","32.00","160.00","170.00","45.00","118.00","78.00","58.00","100.00","N/A","10.00","15.00","45.00","67.00","N/A","90.00","300.00","200.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2013-01-26
"58.00","90.00","65.00","125.00","105.00","65.00","100.00","92.00","N/A","160.00","N/A","10.00","12.00","30.00","N/A","N/A","60.00","200.00","N/A","N/A","N/A","N/A","N/A","9.00","BOLGA",2013-01-26
"54.00","90.00","N/A","170.00","110.00","73.00","125.00","89.00","50.00","190.00","N/A","20.00","N/A","83.00","267.00","116.00","72.00","250.00","175.00","139.00","N/A","N/A","25.00","8.00","WA",2013-01-26
