"Maize","Rice Local (Perfumed)","Rice Local (Non-perfume","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"109.00","120.00","93.00","176.00","143.00","N/A","140.00","167.00","64.00","265.00","196.00","11.00","13.00","55.00","250.00","136.00","343.00","225.00","320.00","380.00","40.00","50.00","12.00","10.00","ACCRA",2014-05-31
"120.00","N/A","N/A","195.00","150.00","N/A","170.00","N/A","60.00","300.00","100.00","15.00","N/A","65.00","250.00","N/A","450.00","260.00","300.00","N/A","60.00","65.00","20.00","10.00","TEMA",2014-05-31
"110","150","130","210","180","130","200","180"," 65","400","200"," 12"," 15"," 60","350","120","400","300","300","350"," 60"," 45"," 14","  9","SEKTDI",2014-05-31
"150.00","N/A","N/A","225.00","150.00","N/A","140.00","140.00","35.00","440.00","200.00","15.00","25.00","70.00","400.00","120.00","460.00","270.00","240.00","400.00","40.00","70.00","10.00","10.00","KDUA",2014-05-31
"120","100"," 95","190","120"," 92","160","170"," 44","350","300"," 15"," 22"," 60","110"," 80","600","280","280","300"," 18"," 40","  9","  8","CCOAS",2014-05-31
"150","120","100","210","140"," 98","180","185"," 35","420","220"," 10"," 17"," 54","220","140","550","300","300","320"," 35"," 28"," 10"," 10","MKESSI",2014-05-31
"105.0","120.0","110.0","220.0","190.0","100.0","120.0","110.0"," 38.0","250.0","100.0"," 14.0"," 30.0"," 55.0","140.0","120.0","430.0","300.0","200.0","350.0"," 32.0"," 60.0","  6.5"," 10.0","KUMASI",2014-05-31
" 95"," 90"," 80","200","190","120","120","120"," 30","350","150","  8"," 10"," 60","170","100","170","350","240","430"," 30",NA," 30","  9","EJURA",2014-05-31
"130"," 75"," 75","120","100","100","100","100"," 30","600"," 70"," 15"," 20"," 40","280","100","420","320","250","270"," 15"," 65"," 10"," 10","OBUAS",2014-05-31
"88.00","75.00","75.00","225.00","109.00","N/A","150.00","140.00","25.00","260.00","108.00","8.00","8.00","50.00","190.00","60.00","350.00","280.00","200.00","260.00","35.00","65.00","10.00","9.00","UNYAN",2014-05-31
" 50"," 85"," 85","185","145"," 60"," 95","100"," 30","260"," 80","  7","  8"," 62","170"," 50","100"," 73","160","250"," 32"," 35"," 20","  8","TMAN",2014-05-31
"160.00","93.00","85.00","150.00","110.00","N/A","149.00","153.00","90.00","450.00","91.00","14.00","11.00","80.00","148.00","66.00","400.00","140.00","305.00","410.00","40.00","N/A","24.00","9.00","HO",2014-05-31
"80.00","70.00","70.00","196.00","146.00","70.00","100.00","84.00","80.00","117.00","N/A","15.00","20.00","57.00","91.00","N/A","450.00","155.00","270.00","280.00","30.00","N/A","N/A","10.00","TAMAL",2014-05-31
"80.00","130.00","110.00","166.00","130.00","75.00","105.00","100.00","N/A","250.00","N/A","15.00","18.00","32.00","N/A","N/A","156.00","220.00","240.00","280.00","N/A","N/A","N/A","9.00","BOLGA",2014-05-31
"61.00","107.00","N/A","170.00","110.00","91.00","107.00","97.00","63.00","220.00","N/A","20.00","N/A","84.00","N/A","167.00","75.00","180.00","214.00","239.00","N/A","N/A","19.00","10.00","WA",2014-05-31
